epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,24302.5,1.2887,0.93557,1.17867,0.68948,0.82257,0.77319,0.49607,1.29913,0.80685,1.21485,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,24725.5,1.2874,0.92938,1.17725,0.69044,0.82235,0.77383,0.49704,1.29797,0.80545,1.21385,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,25149.2,1.2889,0.92997,1.17567,0.69219,0.82225,0.77408,0.49735,1.29702,0.80412,1.21302,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,25573.4,1.28029,0.92072,1.17405,0.69301,0.82187,0.77457,0.49777,1.29586,0.80257,1.21195,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,25997.2,1.27773,0.91119,1.16968,0.69438,0.82092,0.77497,0.49827,1.29491,0.80107,1.21101,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,26420.7,1.27822,0.9167,1.1708,0.69571,0.82241,0.77527,0.49851,1.29395,0.79969,1.21006,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,26844.4,1.26966,0.90673,1.16939,0.6943,0.82496,0.77515,0.49855,1.29316,0.79831,1.20937,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,27267.8,1.27027,0.90417,1.16714,0.69488,0.82382,0.77545,0.49902,1.29218,0.79701,1.20828,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,27689.7,1.26036,0.89517,1.16177,0.69621,0.82175,0.77586,0.49953,1.29113,0.79584,1.20718,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,28113.5,1.2637,0.89452,1.16277,0.69601,0.82098,0.77583,0.50002,1.29022,0.79451,1.2061,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
